mode,alpha_primary,value,mean_tanimoto,median_tanimoto,bit_accuracy,bit_precision,bit_recall,bit_f1,mean_active_bits,mean_target_active_bits
top_k,0.5,96,0.39445828722734816,0.3688524663448334,0.9824951697515163,0.4591232123790019,0.6902871316686994,0.5514598802713884,96.0,63.8514404296875
threshold,0.7,0.6,0.3916351771647174,0.35483869910240173,0.9902531954819356,0.897314274055305,0.4231805796913127,0.5751267770300251,30.112850189208984,63.8514404296875
threshold,0.4,0.2,0.389301808640648,0.3717948794364929,0.9837601292141469,0.4847047528529706,0.6618420738813231,0.5595898769561332,87.18621063232422,63.8514404296875
top_k,0.9,32,0.386941021380782,0.36781609058380127,0.989090569184707,0.7994752008612088,0.4006676409608174,0.5338095292880782,32.0,63.8514404296875
top_k,0.95,32,0.3869065394928189,0.36781609058380127,0.9890810820207885,0.7988680223704249,0.40036334537631085,0.5334041162571174,32.0,63.8514404296875
top_k,1.0,32,0.38639851546758447,0.36781609058380127,0.9890592102618088,0.7974682297957255,0.39966182069094836,0.5324694748641181,32.0,63.8514404296875
top_k,0.8,32,0.38566118282152156,0.364705890417099,0.9890777486929252,0.7986546893871764,0.4002564307114842,0.5332616738408337,32.0,63.8514404296875
threshold,0.6,0.125,0.3825585716408178,0.37956205010414124,0.9809225184861236,0.43420932383732486,0.7385229163359851,0.5468827839050919,108.60142517089844,63.8514404296875
top_k,0.4,80,0.38250511277703525,0.3613445460796356,0.9838419367722063,0.48542509058446676,0.6081931174918148,0.5399182218639881,80.0,63.8514404296875
threshold,0.5,0.45,0.38165757567072306,0.3571428656578064,0.9892963252573124,0.7716947201944043,0.44503393718187745,0.5645142613327547,36.82292556762695,63.8514404296875
threshold,0.5,0.15,0.38156692913360707,0.37288135290145874,0.9817277351134603,0.44604351040432566,0.7115409446157364,0.5483456854598353,101.85758209228516,63.8514404296875
top_k,0.7,32,0.3815363373777395,0.3604651093482971,0.9890021334323964,0.7938153127133329,0.39783111266091686,0.5300304224129855,32.0,63.8514404296875
top_k,0.4,64,0.3806135614864708,0.35922330617904663,0.9855560365234273,0.5366325552696529,0.5378810993788258,0.5372561019437914,64.0,63.8514404296875
threshold,0.4,0.35,0.37707891562726764,0.3529411852359772,0.9875311614873248,0.624304543884992,0.5025836339965606,0.5568702423982025,51.40230178833008,63.8514404296875
threshold,0.7,0.1,0.37527050799067857,0.375,0.9793538543936748,0.41250874404661836,0.7648148772578527,0.5359491965280375,118.38423919677734,63.8514404296875
top_k,0.6,32,0.3724546975012647,0.35227271914482117,0.9888223132146655,0.7823068187785538,0.3920634777037691,0.5223462019099337,32.0,63.8514404296875
threshold,1.0,0.8,0.3721325692764189,0.3191489279270172,0.9901212085190424,0.927951525680397,0.3971197189295704,0.556208355675147,27.325422286987305,63.8514404296875
top_k,0.4,96,0.36959354236341696,0.3469387888908386,0.9815588379547274,0.4391481340475065,0.6602548023188969,0.5274675095785188,96.0,63.8514404296875
top_k,0.95,128,0.36529091770322464,0.3458646535873413,0.9777170750283897,0.3928928937142257,0.7876140183218838,0.5242628359619612,128.0,63.8514404296875
top_k,1.0,128,0.364612150679387,0.3464052379131317,0.9776636648596269,0.3920383310140209,0.7859009164231616,0.523122536730582,128.0,63.8514404296875
top_k,0.9,128,0.3642009016745939,0.34328359365463257,0.9776737930481345,0.3922003820301423,0.7862257725201349,0.5233387720625046,128.0,63.8514404296875
top_k,0.8,128,0.3589137546142591,0.3378378450870514,0.9774183832108583,0.3881138246337237,0.7780336419329185,0.5178858096795146,128.0,63.8514404296875
threshold,1.0,0.05,0.35836803663576977,0.33673468232154846,0.9733203899357704,0.34812889688796694,0.8154365037917697,0.48794336851434866,149.56182861328125,63.8514404296875
threshold,0.8,0.075,0.3564478598330828,0.3553299605846405,0.9763092311848514,0.3765990417855843,0.793074890433029,0.5106914595160251,134.46389770507812,63.8514404296875
threshold,0.3,0.2,0.3560918182485189,0.3349514603614807,0.9821901189700611,0.4495727729648357,0.6351438372331143,0.526484749015337,90.20752716064453,63.8514404296875
threshold,0.5,0.125,0.35547632906271565,0.3488371968269348,0.9788921628436302,0.40270989676863544,0.7327429450713573,0.5197623800728751,116.17964935302734,63.8514404296875
top_k,0.4,48,0.3554740174243269,0.3382352888584137,0.986680060319901,0.5968017556757513,0.44864271833002584,0.5122237835254394,48.0,63.8514404296875
threshold,0.4,0.15,0.35527535490717094,0.34285715222358704,0.9799573662238092,0.4153908501660254,0.7013577340012485,0.5217603846160905,107.80859375,63.8514404296875
threshold,0.3,0.25,0.353295605959311,0.3309859037399292,0.9841897695347371,0.4938053820785261,0.5663352037916874,0.5275892186757787,73.22990417480469,63.8514404296875
top_k,0.7,128,0.35229332115749024,0.33076924085617065,0.9770885119573137,0.3828358845770099,0.7674532022175746,0.5108431070334785,128.0,63.8514404296875
threshold,0.95,0.05,0.3476089678009487,0.3291139304637909,0.972298673663715,0.3392675593978352,0.8200404137433045,0.4799641100103275,154.334716796875,63.8514404296875
threshold,0.8,0.7,0.34758503805343804,0.3103448152542114,0.9897316963377291,0.9217452987422662,0.37296358404273955,0.531049774608749,25.836055755615234,63.8514404296875
threshold,0.6,0.1,0.34652746587957284,0.3440000116825104,0.9769500762870543,0.3804797944324919,0.7618294908476935,0.5074995569159598,127.84886932373047,63.8514404296875
